uri,fullName,firstName,lastName,image,memberCode,houses,houseCodes,parties,constituencies,representTypes,committees
https://data.oireachtas.ie/ie/oireachtas/member/id/Michael-Lowry.D.1987-03-10,Michael Lowry,Michael,Lowry,False,Michael-Lowry.D.1987-03-10,34th Dáil,dail,Independent,Tipperary North,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Eileen-Lynch.S.2025-01-29,Eileen Lynch,Eileen,Lynch,False,Eileen-Lynch.S.2025-01-29,27th Seanad,seanad,Fine Gael,Agricultural Panel,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Pádraig-MacLochlainn.D.2011-03-09,Pádraig Mac Lochlainn,Pádraig,Mac Lochlainn,False,Pádraig-MacLochlainn.D.2011-03-09,34th Dáil,dail,Sinn Féin,Donegal,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Micheál-Martin.D.1989-06-29,Micheál Martin,Micheál,Martin,False,Micheál-Martin.D.1989-06-29,34th Dáil,dail,Fianna Fáil,Cork South-Central,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/David-Maxwell.D.2024-11-29,David Maxwell,David,Maxwell,False,David-Maxwell.D.2024-11-29,34th Dáil,dail,Fine Gael,Cavan-Monaghan,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Paul-McAuliffe.D.2020-02-08,Paul McAuliffe,Paul,McAuliffe,False,Paul-McAuliffe.D.2020-02-08,34th Dáil,dail,Fianna Fáil,Dublin North-West,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Aubrey-McCarthy.S.2025-01-29,Aubrey McCarthy,Aubrey,McCarthy,False,Aubrey-McCarthy.S.2025-01-29,27th Seanad,seanad,Independent,University of Dublin,panel,
https://data.oireachtas.ie/ie/oireachtas/member/id/Noel-McCarthy.D.2024-11-29,Noel McCarthy,Noel,McCarthy,False,Noel-McCarthy.D.2024-11-29,34th Dáil,dail,Fine Gael,Cork East,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Charlie-McConalogue.D.2011-03-09,Charlie McConalogue,Charlie,McConalogue,False,Charlie-McConalogue.D.2011-03-09,34th Dáil,dail,Fianna Fáil,Donegal,constituency,
https://data.oireachtas.ie/ie/oireachtas/member/id/Maria-McCormack.S.2025-01-29,Maria McCormack,Maria,McCormack,False,Maria-McCormack.S.2025-01-29,27th Seanad,seanad,Sinn Féin,Labour Panel,panel,
